clean_news,label_encoded
"hdfc bank invests in qnu labs, a pioneer in quantumsafe cybersecurity qnu labs, incubated at iit madras, secures critical infrastructure using patented deep tech",2
"hdfc bank sees 2,408 put option contracts traded at rs 950 strike stock valued at rs 9488 recent declines spark increased investor activity",1
"eight top firms lost 224 trn in valuation, led by reliance, hdfc bse benchmark fell 1,4972 points 184, driving the bearish trend",0
"sbis q1 profits grew 125 yoy to rs 19,1604 crore, while hdfc bank rose 122 yoy to rs 18,155 crore hdfc bank outperformed sbi in roa 191 vs 11 in fy25, yet sbi leads in sme loan growth with 169 yoy",2
"india inc boosts overseas borrowing post sp upgrade, with firms like muthoot finance and hero fincorp raising funds sps upgrade narrows spreads, lowers costs risks remain from tax cuts, us tariffs, and fed policy changes",2
"sensex rises 112 pts itc, reliance, hdfc bank lead gains nifty opens at 24,54765, up 46 pts us tariffs on indian goods weigh on sentiment fiis increase short positions despite strong dii flows",2
"hdfc bank allotted 77b bonus shares with a 11 ratio paidup share capital doubled to rs 154b record date aug 27, 2025",1
hdfc bank trades near 52week high but declined over past 4 days it outperformed its sector today but lags key moving averages,1
"hdfc bank leads em funds portfolios, owned by 71 of active em funds analyst steven holden highlights hdfc banks record ownership in 17year dataset",2
"hdfc bank shares drop 18 to rs 955 post 156m shares block deal after bonus adjustment bonus issuance doubled shares, reduced stock price proportionally aimed to boost liquidity, retail participation",0
"banksponsored funds lead mf flows sbi mf sees rs 38,429 crore net inflows in fy25 icici bank, hdfc bank, and sbi mutual fund dominate growth in regular schemes",2
hdfc bank announces its firstever bonus shares issuance investors should note this significant development in hdfc banks equity strategy,1
"hdfc bank, karur vysya, shilpa medicare plan bonus share issues in augoct 2025 bonus shares aim to boost liquidity, attract investors, and reflect financial strength",2
"hdfc bank announces 11 bonus adjustments in fo contracts from aug 26 futures prices, lot sizes, and options strike prices to be halved on aug 26",1
"hdfc bank sees 10,610 active put contracts at rs 1960 strike the stock trades at rs 19607 with notable volumes across strike prices",1
"indias q1 fy26 gdp growth is projected at 67, driven by strong government capex, rural demand, and buoyant services weak mining, manufacturing sectors and global trade tensions weighed on growth gst reforms expected to boost fy26 gdp",2
"jefferies maintains a buy on hdfc bank with a rs 2,400 target, implying 21 upside key drivers include stable asset quality, merger synergies, improved funding mix, and lower attrition",2
"hdfc bank invests in corover, creator of bharatgpt, marking its first investment in a generative ai startup corover serves 1 billion users, supports indian languages, and partners with firms like irctc, lic, and npci",2
"sebis norm relaxation may ease 1 bn selloff risk for hdfc bank, icici bank proposed changes aim to mitigate selling pressure due to high nifty bank weightages",2
"credila plans to raise 600m via ecb loans with dbs, mufg, and smbc involved credila, now owned by kopvoorn, reported fy25 borrowings of 32,700cr, up from 20,067cr",1
"banks ipo financing surged 53 in fy25 sbi tripled to 446 cr, hdfc bank led with 5,029 cr 16 banks provided 7,748 cr loans sebi reported 19 lakh cr ipo funds raised, up from 68,000 cr",2
"sbi, hdfc, bajaj finance, and others rallied after sp upgraded indias rating to bbb banking stocks gained from gst slab cuts, boosting consumer spending, deposits, and credit growth",2
"top 5 firms market cap rose 60,6759 cr sbi, hdfc led gains positive equity trends boosted valuations of sbi and hdfc bank",2
"hdfc bank listed among axis securities top 15 picks with up to 28 upside market ends positive after 6week loss benign inflation, global cues boost sentiment",2
"indias long bond rally falters due to fiscal concerns, weak tax revenues, and limited rate cut potential axis mf sees bond supplydemand gap 30year bond yields may rise to 7374 amid investor caution",0
"hdfc bank revises service charges effective aug 1, 2025, impacting cash transactions, fund transfers, and certificates free cash transactions reduced neft, rtgs, imps, and cheque return charges see significant hikes, varying for senior citizens",0
hdfc bank falls over 1 from its intraday high financial stocks retreat from peak levels alongside hdfc bank,0
"intraday guides for aug 13, 2025 hdfc bank sell below 1970, infosys sideways trend sbi long at 820, ongc bullish nifty 50 futures buy at 24500 with 24420 stop loss",0
hdfc bank and icici bank led declines as 30 nifty stocks closed lower alkem lab surged 7 after posting strongerthanexpected q1 earnings,0
"hdfc bank gains nearly 1, leading niftys rise today lt climbs 2 on securing a 15,000 crore adani power order paras defence up 5",2
"icici bank raised minimum balance for metro sb accounts to 50,000 from 10,000, targeting affluent customers in contrast, hdfc banks urban minimum is 10,000, and sbi removed minimum balance rules in 2020 for inclusivity",1
"rbi to standardize claim settlement for deceased customers accounts and lockers, addressing delays and inconsistencies indian banks transferred 67,000cr unclaimed deposits to dea fund sbi leads with 19,3299cr, followed by pnb and canara bank",1
"hdfc bank traded 56m shares opened at rs 1,9865, peaked at rs 1,9944 despite recent declines, investor interest signals robust market engagement",1
"goldman sachs maintains a buy on hdfc bank with a target of rs 2,327, implying 19 upside hdfc banks q1 results show strong growth in loans, deposits, and asset quality, despite minor casa dip",2
"sail led gains in the metal sector as bse 500 rose 082 fmcg and finance sectors, including hdfc bank, saw slight declines",0
"hdfc bank sees 4,814 active put contracts traded, indicating market activity stock underperformed sector recently, with lower delivery volume and mixed ma performance",0
"day trading guide for july 29, 2025, provides intraday supportsresistances for nifty futures, reliance, infosys, hdfc bank, tcs, sbi technical analysis suggests specific entry, stop loss levels trades involve risks exit at defined resistancesupport levels",1
"fiis bearish bets deepen, with lowest index future longs and high put options, signaling extreme caution nifty realty faces pressure lodha, oberoi realty, prestige, and brigade show weakness, phoenix remains resilient",0
"hdb financial services fell 3 to 76105, hitting a new low since july 2025 listing the hdfc bank subsidiarys stock trades near its ipo price on bse",0
"hdfc bank traded 115m shares with market cap of rs 1539 lakh cr stock stays above key moving averages, showing positive longterm trend",2
"hdfc banks last traded price is 2003, market cap 15444712 cr volume at 930196 pe ratio is 219 eps stands at 920 as of jul 25, 2025",1
"hdfc bank, lic, ultratech cement, and others to trade exdividend on july 25 52 companies, including abbott india and icra, announced dividend rewards for shareholders",1
"vedanta and hero motocorp gain positive analyst outlook amid market shifts suzlon, mm face sentiment changes hdfc bank strengthens au small finance under review",2
"hdfc bank approves a special interim dividend of inr 5share, payable on aug 11, 2025 the dividend applies to fully paid equity shares of inr 1 each",2
"icici bank outperforms hdfc bank in june quarter with strong profit growth, resilient margins, and stable asset quality hdfc bank faces postmerger challenges like high cd ratio, weighing on investor sentiment and nearterm earnings",0
hdfc bank shares rise after q1 results update ultratech cement and idbi to report earnings today mrpl drops 7,2
"hdfc bank leads nifty gains, up about 2 icici bank contributes, rising nearly 3",2
"analysts raise hdfc bank target on better credit growth, nim outlook q1fy26 steady earnings, h2fy26 loan growth boost bullish sentiment",2
